Module name,Module size,Number of CN,Number of RN,Number of axioms
DigitalNerveSupplyingPalmarAspectOfRadialBorderOfMiddleFinger,6134,5813,316,30232
PhotoreceptorCell,6134,5813,316,30232
UterinePain,6231,5910,316,30634
VomitAspiration,6255,5934,316,30722
UrinaryCatheter,6145,5820,320,30271
PsoriasisLikeEfflorescence,6136,5815,316,30239
VectorForce,82,33,44,208
Domperidone,41,23,14,95
NasopharyngealPathology,6134,5813,316,30232
SectionOfAnalSphincter,6140,5819,316,30259
InsomniaSymptom,203,130,68,602
Diazoxide,41,23,14,95
Bronopol,41,23,14,95
MegaloblasticAnaemia,6223,5888,330,30571
MedialFemoralCondyle,6134,5813,316,30232
SalmeterolXinafoate,41,23,14,95
WheatGrain,60,34,22,144
UnenrobingProcess,14,9,0,27
DiseaseProcessPreventing,58,27,26,140
Flumetasone,41,23,14,95
Caesium,30,16,10,66
LuteinisingHormoneAsDrug,6159,5838,316,30330
Metacycline,41,23,14,95
OtherTopicalPreparationsForAcne,41,23,14,95
Cefaclor,78,37,36,188
lozengeDrugForm,19,15,0,45
StagHornCalculus,6145,5824,316,30277
FossaOfTooth,6145,5822,318,30279
LeptospiraInterrogans,238,149,84,715
Almotriptan,41,23,14,95
Solubility,13,9,0,27
BonyPedicle,6134,5813,316,30232
IxodesRicinus,125,80,40,381
Tent,32,18,10,73
SodiumCitrate,85,40,40,213
ArticulationOfIncreasedScope,81,44,32,224
SclerosisLesion,133,76,52,422
Hypoparathyroidism,6187,5856,326,30432
Wangiella,114,69,40,315
AndrogenDependentTumour,6136,5815,316,30239
MetastaticColonCancer,6136,5815,316,30239
cigaretteDrugForm,17,13,0,39
NecatorAmericanus,125,80,40,381
HypertonicUterineContraction,73,40,28,197
AcarusGallinae,123,78,40,374
RaisedSerumKetoneConcentration,6191,5862,324,30445
Laxative,6134,5813,316,30232
PulmonaryRoute,6244,5923,316,30676
SecretoryCell,87,46,36,228
SurgicalBiopsyingProcess,55,22,28,132
Estradiol,80,39,36,197
InspirationForDrugAdministration,6267,5946,316,30766
SurgicalPulling,34,19,10,75
StraightArthroscope,6208,5879,324,30509
CapsulaNucleusLentiformis,6134,5813,316,30232
ChangingPhenomenon,20,7,8,36
AppendicularColic,6473,6150,318,31616
ElbowJointExamination,6275,5954,316,30807
ScarpasFascia,6135,5814,316,30235
TemporalArtery,6134,5813,316,30232
ErythrocyteDisorder,6134,5813,316,30232
DistalVertebralArtery,6134,5813,316,30232
visceralSelection,15,11,0,32
SymptomOfArmOrLeg,223,142,76,652
TranspapillaryRoute,6254,5931,318,30711
FoetalHeartRate,6226,5901,320,30601
BrachialFascia,6135,5814,316,30235
Duodenum,6134,5813,316,30232
UnstableGlenoHumeralJoint,6174,5847,322,30388
DistalMetatarsalHead,6134,5813,316,30232
Personality,145,88,52,400
TrialOfLabour,6208,5877,326,30508
IschaemicAtrophicProcess,6327,5992,330,31010
AtosibanAcetate,42,24,14,98
Mepivacaine,41,23,14,95
NeuralTube,6134,5813,316,30232
PathologicalSubstance,41,23,14,102
BodyRotatingToRightSensation,6137,5816,316,30241
GreatToe,6134,5813,316,30232
AdrenocorticalAdenoma,6233,5906,322,30622
IntraAbdominalSystemicArtery,6134,5813,316,30232
Extending,14,9,0,27
CalciumCitrate,90,45,40,231
Bran,58,32,22,138
lightLateralPosition,17,13,0,39
FlexorHallucisBrevis,6134,5813,316,30232
TinzaparinSodium,87,44,38,219
CiliaryBody,6134,5813,316,30232
GastroIntestinalUlceration,6163,5842,316,30353
OrientiaTsutsugamushi,111,66,40,306
InfectedAbscess,222,129,88,697
ArytenoidCartilage,6134,5813,316,30232
OrphenadrineHydrochloride,41,23,14,95
Quinethazone,41,23,14,95
NonNormallyLargeNippleSymptom,271,178,88,808
red,17,13,0,39
Benzocaine,41,23,14,95
nonGeneticallyDetermined,18,14,0,42
LateralBorderOfKidney,6134,5813,316,30232
AutosomallyDominantInheritedPathology,76,39,32,202
Wakefulness,149,92,52,412
PeripheralVascularDisorder,6134,5813,316,30232
NAMEDDuct,114,71,38,328
RightLateralFlexion,18,13,0,39
NumericalRole,9,5,0,14
IsoprenalineSulphate,41,23,14,95
DepigmentationOfHair,128,77,46,376
ComponentOfOcularLens,6134,5813,316,30232
AdrenalCortex,6134,5813,316,30232
IntralesionalRoute,101,54,42,274
L2L3IntervertebralSpace,6134,5813,316,30232
WoundDehiscence,149,86,58,471
PathologicalCyst,155,92,58,446
Androgen,44,25,14,105
SymptomFrequency,156,93,58,428
Blastocyst,278,173,100,835
FourthPlantarInterosseusMuscleOfFoot,6134,5813,316,30232
BNFChapter4_2_1Section,63,34,24,164
GumBasicDrugForm,61,26,30,143
LeftOvarianVein,6134,5813,316,30232
InternalRegion,52,24,24,128
LeftPosteriorFascicularBlock,6263,5930,328,30756
StaplingDevice,61,30,26,150
SlippedEpiphysisOfTheHip,6139,5818,316,30255
BinannualFrequency,50,21,24,117
CyclopentolateHydrochloride,41,23,14,95
Dementia,6433,6096,332,31448
SubsidiaryStatus,11,7,0,20
ErythrocyteSedimentationRate,6163,5832,326,30323
Smoking,6251,5930,316,30702
VolumeDecreasing,41,18,18,93
Capillaria,123,78,40,374
ProximalPhalanxOfThumb,6134,5813,316,30232
DyspnoeaClasslV,6261,5940,316,30746
DuffyBloodGroupAntigen,71,38,28,177
GlycogenDegradation,57,28,24,142
LumboSacralPlexus,6135,5814,316,30235
ThighSign,6172,5851,316,30384
EctopicMammaryGlandTissue,6134,5813,316,30232
NormalCardiacContraction,6217,5894,318,30565
HipPain,6231,5910,316,30634
Epirubicin,41,23,14,95
leaningSideways,17,13,0,39
Calymmatobacterium,110,65,40,303
SideroblasticAnaemia,6232,5895,332,30601
incapable,15,11,0,33
HypotoniaOfMuscle,6246,5915,326,30672
AuricularNerveOfVagus,6134,5813,316,30232
InguinoFemoralLymphnodeGroup,6136,5815,316,30239
Ethanolamine,41,23,14,95
WuchereriaBancrofti,124,79,40,378
ExfoliationLesion,92,53,34,275
CheeseFly,81,50,26,217
Whisky,69,32,32,172
localisedDiseaseProcessExtent,17,13,0,39
Nitrogen,30,16,10,66
MealPattern,72,33,34,175
Pea,89,44,40,225
Mexiletine,41,23,14,95
InternalCarotidArtery,6134,5813,316,30232
Platelet,6137,5816,316,30243
InferiorSurfaceOfCalcaneum,6134,5813,316,30232
Wolverine,87,56,26,232
SkinOfForefoot,6134,5813,316,30232
SurgicalAreaIncreasing,56,27,24,134
GastricEmptying,6134,5813,316,30232
GastroduodenalArtery,6134,5813,316,30232
Medigoxin,41,23,14,95
SublingualDrugAdministration,6151,5830,316,30298
FreezeDrying,38,13,20,85
CarerRole,11,7,0,20
lessThanEighteen,12,8,0,23
SymptomOfWeightLoss,6169,5840,324,30366
Lobe,47,29,14,121
HyperlipidaemiaTypeIV,6196,5865,326,30457
PathologicalHypoPhosphataemia,6208,5875,328,30502
Crying,6202,5871,326,30495
StratumCorneumEpidermis,116,65,46,315
SuperiorArticularFacetOfVertebra,6134,5813,316,30232
LossOfSelfConfidence,172,107,60,488
GaucherDisease,6575,6230,340,32081
RosemaryOil,41,23,14,95
HumeralCondyle,6134,5813,316,30232
CPeptide,31,17,10,69
livingDonor,48,19,24,111
Dynophagia,6236,5915,316,30656
HunterSyndrome,6569,6224,340,32047
SerratusAnteriorMuscle,6134,5813,316,30232
FemalePeriUrethralTissue,6134,5813,316,30232
CollateralLigamentOfWrist,6135,5814,316,30235
Phenolphthalein,41,23,14,95
LumbarPlexus,6135,5814,316,30237
ClinicRoom,33,19,10,77
Aspiration,6248,5927,316,30692
Sulphasalazine,42,24,14,98
InvertedTWaveOfECGTrace,6235,5900,330,30617
VentricularRhythm,6217,5894,318,30565
DivisionOfLobe,65,33,28,166
DigitalNerveSupplyingPalmarAspectOfUlnarBorderOfMiddleFinger,6134,5813,316,30232
SexualDifferentiation,66,31,30,162
DyspnoeaClassll,6261,5940,316,30746
NAMEDBodySubstance,54,28,22,126
ParenchymalTissueStructure,74,40,30,182
AnterogradeRoute,123,66,52,330
perWeek,11,7,0,20
SkeletalMuscleTetanySymptom,6368,6041,322,31185
ComponentOfSynovialJoint,6134,5813,316,30232
Leucocidin,70,33,32,170
NicotineProduct,41,23,14,95
NeisseriaCatarrhalis,237,148,84,710
Elevating,14,9,0,27
BodyMovement,6134,5813,316,30232
SkinOfHindfoot,6134,5813,316,30232
TendonOfPsoasMinor,6135,5814,316,30235
Clotrimazole,74,33,36,174
VisualFieldDefect,6134,5813,316,30232
Aspirating,15,10,0,30
ExtensorIndicis,6134,5813,316,30232
LaryngoScope,6207,5878,324,30506
MalePatient,126,77,44,346
HypervitaminosisA,135,76,54,375
Biting,14,9,0,27
OestrolGroup,31,17,10,70
PlexusVenosusVertebralisExternusPosterior,6137,5816,316,30242
UpperGastrointestinalTractPathology,6134,5813,316,30232
ECGLeadavF,13,9,0,26
ShortGastricArtery,6134,5813,316,30232
MyelomonoblasticLeukaemia,6395,6056,334,31276
ECGLeadavL,13,9,0,26
DistalInterphalangealJointOfMiddleFinger,6134,5813,316,30232
MicturitionDisorder,6134,5813,316,30232
OrganInPosteriorCranialFossa,6134,5813,316,30232
PlasmaCellEnlargement,6177,5856,316,30411
PatientInitiatedDietaryRestriction,196,123,68,552
AbductorDigitiMinimiTendonOfFoot,6134,5813,316,30232
GeneralAnaesthetic,125,68,52,336
ECGLeadavR,13,9,0,26
SurfaceStructureOfLowerExtremity,6134,5813,316,30232
HypervitaminosisD,162,83,74,440
IsthmusOfAorta,6134,5813,316,30232
RectalArtery,6134,5813,316,30232
NecrosingProcess,48,27,16,128
Reflex,6136,5815,316,30240
Escherichia,237,148,84,711
PhenethicillinSodium,118,57,56,307
IntraepidermalEpitheliomaOfJadassohn,132,77,50,420
Enzyme,68,31,32,163
InfrapatellarBursa,6134,5813,316,30232
CardiacFunction,6134,5813,316,30232
rotationally120DegreeSymmetrical,19,15,0,45
CapsuleOfShoulder,6134,5813,316,30232
Pustulosis,6164,5841,318,30349
AcneFulminans,175,100,70,547
ModelInformation,7,3,0,8
ThoracicPathology,6134,5813,316,30232
VentricularOutflowTract,6138,5817,316,30248
PhoenixAbscess,6193,5868,320,30475
Pig,87,56,26,232
Pinna,6134,5813,316,30232
IxodesBicornis,125,80,40,381
MetabolicDisease,44,23,16,108
EczematousIntertrigo,6288,5965,318,30853
Pin,88,43,40,229
DeferentialPlexus,6135,5814,316,30235
future,16,12,0,36
StomachPain,6231,5910,316,30634
AdventitiousSound,6258,5937,316,30735
IntervertebralDiscJoint,6139,5818,316,30249
RightLowerCentralIncisor,6141,5820,316,30259
Pit,40,24,12,99
Diaphragm,6134,5813,316,30232
OffEpisode,6136,5815,316,30239
PhotoExposure,63,30,28,155
AngularMeasurementValue,15,11,0,33
InframalleolarSegmentOfFibula,6134,5813,316,30232
SodiumPhosphate,90,45,40,231
Periodontium,6135,5814,316,30239
VinblastineSulphate,75,34,36,177
AtrophicLesion,131,76,50,417
BloodUreaNitrogen,6138,5817,316,30248
CaroticoTympanicNerve,6135,5814,316,30236
ThirdIntercostalSpace,6134,5813,316,30232
RespiratoryFunctionalSystem,14,10,0,29
Hafnium,34,20,10,79
Antagonising,14,9,0,27
ClinicalElectrocardioversion,6146,5823,318,30272
PharyngealConstrictorMuscle,6134,5813,316,30232
always,16,12,0,36
HeadOfHumerus,6134,5813,316,30232
GonadotrophicRole,13,9,0,26
ParasympatheticNerveFibre,6134,5813,316,30232
Chloramphenicol,41,23,14,95
UrgeToVoidFaeces,146,89,52,400
MassetericNerve,6134,5813,316,30232
OlfactoryHallucination,6143,5822,316,30268
MinorRenalCalyx,6139,5816,318,30247
CardiacMuscleTissue,57,31,22,135
Gonorrhoea,312,201,106,1010
RaisedSerumBaseConcentration,6201,5868,328,30472
ipsilateralSelection,16,12,0,35
Radiology,15,11,0,33
Lethargy,172,105,62,477
AcephalicMigraine,6436,6099,332,31468
UpperSecondMolar,6141,5820,316,30259
TurbidFastingSerum,6152,5829,318,30298
SurgicalCauterizing,33,18,10,71
Modality,8,4,0,11
Angiosperms,77,46,26,201
CribriformFascia,6135,5814,316,30235
HeartSoundExamination,6277,5956,316,30814
Rubella,6237,5902,330,30625
IntrinsicallyPathologicalBodyProcess,41,22,14,102
CalciumHydroxyapatite,85,40,40,213
rod,117,70,42,324
Epilepsy,6169,5844,320,30364
Cilazapril,41,23,14,95
CrystallineCataract,6154,5829,320,30304
ThurfylSalicylate,79,38,36,194
FingerJoint,6134,5813,316,30232
SubluxationLesion,112,61,46,326
Diclofenac,77,36,36,186
TolmetinSodium,91,46,40,234
Excavating,14,9,0,27
NodularHyperplasticLesion,133,78,50,424
LowNeutrophilCount,6171,5840,326,30364
DihydrofolateReductase,70,33,32,170
ApexOfAdrenalGland,6134,5813,316,30232
Spilogale,86,55,26,229
BorderlineCephalopelvicDisproportion,73,40,28,197
PalpebralOedema,6178,5857,316,30411
Levorpharnol,41,23,14,95
AboveElbowJacketCast,46,27,14,109
Rowachol,41,23,14,95
BacillusAnthracis,6170,5843,322,30365
Compressing,13,8,0,24
InterferonBeta1a,45,27,14,108
SensorySign,6172,5851,316,30384
TemporalisMuscle,6134,5813,316,30232
CartilageOfEpiglottis,6134,5813,316,30232
GradeOfExperienceState,14,10,0,30
MedialSuralNerve,6135,5814,316,30236
SuperiorTarsalPlate,6134,5813,316,30232
TrinitrateGroup,32,18,10,73
Ajellomyces,113,68,40,312
LandPlant,75,44,26,195
dependentPersonality,16,12,0,36
OrnithodorosTholozani,125,80,40,381
MammaryNeoplasia,6173,5850,318,30386
PosteriorPartOfCerebralHemisphere,6134,5813,316,30232
BNFBookChapter14,54,25,24,126
PorteringRole,11,7,0,20
NonNormallySmallJawSymptom,6231,5900,326,30597
BNFBookChapter13,54,25,24,126
FemaleRetroUrinaryBladderSpace,6134,5813,316,30232
BNFBookChapter15,54,25,24,126
PeriodAfterAgeFifty,14,10,0,29
BNFBookChapter10,54,25,24,126
VascularConstriction,6233,5906,322,30625
BNFBookChapter12,54,25,24,126
InterspinalesMuscle,6134,5813,316,30232
BNFBookChapter11,54,25,24,126
HeadExamination,6275,5954,316,30807
GreaterTrochanter,6134,5813,316,30232
AttentionTremor,6220,5897,318,30576
lessThanTen,14,10,0,29
synchronous,16,12,0,36
Attracting,12,7,0,21
Embrithopoda,83,52,26,220
EnvironmentalOrientation,147,90,52,406
GuarGum,41,23,14,95
Feature,10,6,0,18
TrueCavity,82,45,32,220
MagnesiumAlginate,90,45,40,231
PolyunsaturatedFat,32,18,10,72
ChaoticPulseRhythm,6293,5964,324,30867
MedialRoute,80,37,38,198
rapidlyIncreasing,18,14,0,42
Cauterizing,14,9,0,27
LacunarLigament,6135,5814,316,30237
Trypanosoma,120,75,40,366
DornaseAlfaRecombinantHuman,42,24,14,98
DeteriorationOfOtosclerosis,6136,5815,316,30238
CrabApple,59,33,22,141
AnalCanal,100,61,34,285
Harvesting,15,10,0,30
OneAlphaHydroxycholecalciferol,63,26,32,144
EctopicHeartBeat,6235,5912,318,30641
Neotestudina,113,68,40,312
secondaryDiseaseStage,17,13,0,39
Loin,58,38,16,157
IncisalSurfaceOfTooth,6145,5822,318,30279
CephamycinGroup,32,18,10,73
HeadOrNeckExamination,6275,5954,316,30807
SartoriusMuscle,6134,5813,316,30232
SodiumPyrrolidoneCarboxylate,90,45,40,231
Megacolon,6319,5980,334,30941
GlomusJugulare,6145,5824,316,30276
SodiumAscorbate,90,45,40,231
SurgicalInstallingProcess,31,16,10,65
AcneRosacea,158,91,62,498
UrethralPain,6231,5910,316,30634
TransverseSegmentOfVertebralArtery,6134,5813,316,30232
TibialPlateau,6134,5813,316,30232
ShuntStructure,125,80,40,374
MuscularHypertoniaSymptom,6241,5910,326,30647
Sialolithiasis,6171,5850,316,30381
ThoracicSpinalCord,6134,5813,316,30232
BNFSuggestedindication,14,10,0,29
PruritusAni,6141,5820,316,30266
IncreasedSweating,6177,5848,324,30394
VenousHomograft,6171,5846,320,30368
SacralCordMeninges,6134,5813,316,30232
Cusp,92,51,36,250
Diamorphine,76,35,36,182
DistalInterphalangealJointOfRingFinger,6134,5813,316,30232
NippleDischargeSymptom,282,191,86,863
Doxylamine,41,23,14,95
Completeness,12,8,0,24
IlealPeristalsis,6134,5813,316,30232
RecurrentAphthousUlceration,6136,5815,316,30239
Wolf,87,56,26,232
Protocol,11,7,0,20
BenignBreastNodule,6240,5911,324,30643
ThoracicSpine,6134,5813,316,30232
UncleRole,13,9,0,26
CoronaryBloodVessel,6134,5813,316,30232
Encephalitis,6263,5942,316,30757
TrochlearNerveExamination,6275,5954,316,30807
ExternalOrgan,48,30,14,124
Monocyte,6134,5813,316,30232
LienorenalLigament,6139,5818,316,30259
AorticReflux,6276,5943,328,30808
AcromioclavicularJointCavity,6134,5813,316,30232
Swede,89,44,40,225
Cholesterol,41,23,14,96
LaboratoryTechnicianRole,11,7,0,20
Mastalgia,6231,5910,316,30634
PositiveBloodCulture,6210,5877,328,30530
MSComponentOfNeck,6134,5813,316,30232
TerodilineHydrochloride,42,24,14,98
idiopathic,17,13,0,39
Collagen,6136,5815,316,30240
NebuliserDevice,48,29,14,115
SodiumDesoxycholate,90,45,40,231
Salivation,6134,5813,316,30232
PyloricCanal,6134,5813,316,30232
MentalForamen,6134,5813,316,30232
Hyoscyamus,41,23,14,95
SimpleEpithelium,98,49,44,246
InterclavicularLigament,6134,5813,316,30232
Admitting,12,7,0,21
HaemolyticAnaemia,6200,5871,324,30481
Prevalence,13,9,0,27
HeartValveCusp,6134,5813,316,30232
Scar,136,79,52,431
ProtamineZincInsulinBovine,6161,5840,316,30336
aPart,13,9,0,27
Morphine,76,35,36,182
RheumaticLeftVentricularFailure,6287,5954,328,30850
OrangeJuice,103,52,46,266
BronchogenicCarcinoma,6202,5877,320,30511
HistologicalAppearance,14,10,0,30
OneTwentyFiveDihydroxycholecalciferolVitamin,105,48,52,267
OatPlant,81,50,26,213
FlurazepamHydrochloride,75,34,36,177
CalymmatobacteriumGranulomatis,111,66,40,306
SurfaceAreaOfEye,6134,5813,316,30232
SystolicMurmur,44,27,12,102
Chrysosporium,114,69,40,315
PartOfSurfaceOrgan,53,27,22,132
MetastaticMelanoma,6136,5815,316,30239
Sweat,6142,5819,318,30265
Tulobuterol,41,23,14,95
AlphaHaemolyticStreptococcus,6161,5838,318,30333
VoluntaryMovement,56,25,26,134
RaisedNeutrophilCount,6168,5837,326,30352
TrapezioMetacarpalJoint,6134,5813,316,30232
SyphiliticHypoplasia,6361,6022,334,31131
SuperficialTemporalArtery,6134,5813,316,30232
AceticAcid,41,23,14,95
UterineHypotonia,6246,5915,326,30672
LoweredSerumProthrombinConcentration,6190,5861,324,30442
PeripheralNervousSystem,6134,5813,316,30232
SurgicalDebriding,34,19,10,75
AmnioticCavityRoute,290,179,106,870
CuboideoNavicularJoint,6135,5814,316,30237
InnerOuterPositionSelector,14,10,0,29
SubstanceFeature,11,7,0,21
OroPharyngealPain,6231,5910,316,30634
ThromboticEvent,6155,5834,316,30319
Crystal,31,17,10,70
CerebralPeduncle,6134,5813,316,30232
CarbohydrateDegradation,53,24,24,127
Pyurea,6137,5816,316,30246
posteriorRotation,15,11,0,33
LutheranBloodGroupAntigen,71,38,28,177
AdhesionProcess,47,26,16,123
absence,10,6,0,17
HeartValveLunule,6134,5813,316,30232
TineaCapitis,6173,5850,318,30384
LowSerumAcidConcentration,6186,5857,324,30426
PlexusVenosiVertebralisExterni,6136,5815,316,30239
HomologousTissueGraft,83,40,38,204
SuperiorGlossopharyngealGanglion,6135,5814,316,30235
CranialCavity,6134,5813,316,30232
TimololMaleate,42,24,14,98
CongenitalPathologicalLesion,70,33,32,179
UterineSpasm,6239,5916,318,30656
AzelaicAcid,41,23,14,95
ContinuousInfusionPump,73,38,30,189
PathologicalProcess,33,16,12,74
ContinuousOngoingDrugAdministration,133,66,62,342
PuboProstaticLigament,6136,5815,316,30240
TineaCruris,6173,5850,318,30384
Loop,90,49,36,243
PlaqueRash,6171,5846,320,30369
AngulationOfPenis,6136,5815,316,30239
CartilageLayer,6134,5813,316,30232
SubdivisionOfLeftHeartAtrium,6134,5813,316,30232
Wood,88,43,40,222
Cilastatin,41,23,14,95
BBloodGroupTestResult,6217,5882,330,30550
LiverReaction,6148,5827,316,30288
Schistosoma,123,78,40,374
AccessorySpleen,6134,5813,316,30232
PosteriorCordOfBrachialPlexus,6134,5813,316,30232
Rhabditis,123,78,40,374
Tacalcitol,41,23,14,95
FergusonMethod,33,18,10,71
LogicalReferenceStructure,12,8,0,23
Pus,108,57,46,294
lesserSelection,15,11,0,32
HemiazygosVein,6135,5814,316,30236
VenousAutograft,6171,5846,320,30368
UninodularGoitre,6180,5857,318,30419
InterosseusMuscleWastingSymptom,6175,5852,318,30392
FlexorMuscleOfLeg,6134,5813,316,30232
CandidaAlbicans,114,69,40,315
UpperRespiratoryTractInfection,6160,5839,316,30335
Esomeprazole,41,23,14,95
RaisedSerumTransaminaseConcentration,6187,5858,324,30428
BNFSection5_1_1_4,77,48,24,234
BNFSection5_1_1_3,77,48,24,234
Repaglinide,41,23,14,95
BNFSection5_1_1_2,77,48,24,234
moderatelyDecreased,19,14,0,43
Cefpodizime,78,37,36,188
BNFSection5_1_1_1,77,48,24,234
RespiratorySystemComponent,6134,5813,316,30232
BNFSection5_1_1_5,77,48,24,234
ReflexExamination,6278,5957,316,30819
BreakthroughBleeding,6136,5815,316,30238
ExtremitySymptom,223,142,76,652
SoundTimbre,15,11,0,33
trulyHollow,18,14,0,42
Mediastinopericarditis,6263,5942,316,30757
Reflux,108,51,52,280
Gynaecology,16,12,0,36
TopicalDistribution,41,18,18,96
DistalPartOfFibula,6134,5813,316,30232
AcuteInfarctionOfPapillaryMuscle,6170,5847,318,30376
TwiceDailyDrugDosage,145,72,68,377
InternalObliqueMuscleOfAbdomen,6134,5813,316,30232
Cycloplegia,6530,6189,336,31830
ConvergentSquint,95,46,44,253
IncisivePapilla,6136,5815,316,30239
MometasoneFuroateMonohydrate,75,34,36,177
EthynodiolDiacetate,42,24,14,98
CulicidaeAnopheles,82,51,26,221
OesophagostomumColumbianum,125,80,40,380
CNSStimulant,30,16,10,66
LeftSubclavianArtery,6134,5813,316,30232
SkeletalPathology,6134,5813,316,30232
IncompleteAtrioventricularBlock,6271,5936,330,30782
MiddlePhalanxOfFifthToe,6134,5813,316,30232
SmoothMuscleSpasm,6239,5916,318,30656
MeigeDisease,142,83,54,451
OvarianVessel,6134,5813,316,30232
ParathyroidPathology,6134,5813,316,30232
MajorArteryOfLowerLimb,6134,5813,316,30232
WaitingRoom,33,19,10,77
ReproductiveSystemPhenomenon,55,26,24,131
Pentastarch,41,23,14,95
AnastomosisStructure,124,79,40,370
LeverDrivenRailwayTrolley,6159,5834,320,30334
Articaine,41,23,14,95
AnteriorTibialVenaeCommitante,6134,5813,316,30232
Polyuria,6202,5871,326,30495
EGroupProstaglandin,43,25,14,101
AbnormalAtrioventricularExcitation,6134,5813,316,30232
VelumMedullareCaudale,6136,5815,316,30240
SymptomOfBlockedParanasalSinus,6134,5813,316,30232
Culturing,33,18,10,72
MarkedAnaemia,6189,5860,324,30437
EighthThoracicVertebra,6134,5813,316,30232
EtherifiedStarch,104,55,44,277
Dysmetria,6271,5938,328,30791
SkinMelanoma,6136,5815,316,30239
AbdominalApproach,6244,5923,316,30676
DeviceComponent,31,17,10,70
Nizatidine,41,23,14,95
BorderOfScapula,6134,5813,316,30232
NeonatalPeriod,24,20,0,61
Bradykinesia,6136,5815,316,30240
Iritis,6263,5942,316,30757
SuprascapularNerve,6135,5814,316,30238
Rubber,58,32,22,138
NAMEDMolecularSorptionProcess,13,8,0,24
NonNormallySmallMouthSymptom,6231,5900,326,30597
Praseodymium,30,16,10,66
LateralCostotransverseLigament,6136,5815,316,30238
CalcaneonavicularLigament,6135,5814,316,30238
CordPresentation,73,40,28,197
BloodTriiodothyronineConcentration,6159,5836,318,30328
Migraine,6270,5941,324,30779
Kallikrein,33,18,10,73
Tryptophan,41,23,14,95
Dimension,12,8,0,24
RouteViaNasalCavityToLung,6244,5923,316,30676
LingualLeukoplakia,6144,5823,316,30271
tablespoon,11,7,0,20
RaisedMonocyteCount,6162,5831,326,30324
ShoulderExamination,6275,5954,316,30807
VindesineSulphate,75,34,36,177
CisternaChiasmatis,6134,5813,316,30232
Family,12,8,0,23
AdrenalNeuroma,6233,5906,322,30622
PituitarySnuff,57,31,22,135
ChamomileAsDrug,62,36,22,152
randomlyVariable,19,14,0,43
VisibilityStatus,11,7,0,20
MedialMedullaryLamina,6134,5813,316,30232
Brucella,260,165,90,778
ExtraAmniotic,73,40,28,197
BilateralCoronoidHyperplasia,6178,5853,320,30402
ProximalSurfaceOfAnteriorTooth,6167,5844,318,30380
Sequestrum,6135,5814,316,30237
PartOfPericardium,6134,5813,316,30232
DiseaseCourseStageState,16,12,0,36
BNFChapter13_10_1Section,66,37,24,179
FingerExamination,163,100,58,473
GeniculateGanglion,6134,5813,316,30232
CompletenessState,14,10,0,30
PoldineMethylsulphate,42,24,14,98
PirenzepineDihydrochloride,42,24,14,98
MaroteauxLamySyndrome,6565,6220,340,32026
PancreaticPseudocyst,6270,5949,316,30785
NicotinylAlcohol,41,23,14,95
StickBasicDrugForm,61,26,30,143
CoordinatedBodyMovement,6143,5820,318,30263
BNFChapter1_3Section,64,35,24,170
GeneralisedStructure,8,4,0,11
PerinealApproach,6244,5923,316,30676
Anacardiaceae,81,50,26,213
Belief,146,89,52,403
NonOpioidDrug,72,31,36,167
CarpentierMethod,33,18,10,71
PivotArticulationProcess,15,10,0,30
EhlersDanlosSyndrome,92,51,36,260
HelicalRimAdvancementFlap,6140,5819,316,30253
Smoothing,14,9,0,27
Love,147,90,52,406
nonSubsidiary,12,8,0,23
PharyngomaxillarySpace,6134,5813,316,30232
WedgeShapedPart,90,43,42,235
OstiumSecundum,92,53,34,253
OtobiusMegnini,125,80,40,381
CitricAcidMonohydrate,41,23,14,95
EssentialSystemicHypertension,6148,5827,316,30287
LymphoblasticLymphoma,6277,5942,330,30803
anterior270Degree,16,12,0,36
Haemoptysis,6138,5817,316,30247
Megachiroptera,84,53,26,223
PseudomonasAeruginosa,242,151,86,725
Simethicone,43,24,14,99
DorsalHornOfSpinalCord,6135,5814,316,30235
PituitarySwelling,6172,5851,316,30394
DescribingProcess,12,7,0,21
Citalopram,41,23,14,95
PhysicalSupportRole,11,7,0,20
PeripheralRetinalAtrophy,6136,5815,316,30238
HyperkineticHeartDisease,6219,5884,330,30559
syntonicPersonality,15,11,0,33
RenalArtery,6134,5813,316,30232
AdvancedBreastCancer,6136,5815,316,30238
ActivatedCharcoal,41,23,14,95
VeryLowMenstrualBloodLoss,6238,5905,328,30645
Ergotamine,74,33,36,174
Octoxynol,41,23,14,95
Membrane,91,50,36,246
LowerPremolar,6134,5813,316,30232
Tinnitus,156,97,54,439
HaemophilusInfluenzae,237,148,84,711
DiaphragmaticSurfaceOfLiver,6136,5815,316,30239
PosteriorEthmoidalArtery,6134,5813,316,30232
InfectiveEndocarditis,6288,5967,316,30857
OneTwentyFiveDihydroxycholecalciferolVitaminAsDrug,113,56,52,298
TransparencyState,15,11,0,33
AscendingPharyngealArtery,6134,5813,316,30232
IsletCellGlucagonoma,6233,5906,322,30622
AnaplasticTumour,192,111,76,592
RecurrentLaryngealNerve,6134,5813,316,30232
IntravenousBolusDrugInjection,6165,5840,320,30344
UrinaryObstruction,6134,5813,316,30232
IntravaginalDiaphragm,311,196,110,936
PlaneOfReference,12,8,0,23
PlatinumDrugCompound,88,43,40,222
MetastasesProcess,95,50,40,260
NonVitalTooth,6140,5817,318,30250
SkinOfCervicalRegionOfBack,6134,5813,316,30232
